 Thespian (5),ACTOR
 Summer coolers (4),ADES
 Head of hair (4),AFRO
 Quartz (5),AGATE
 Famous last word (4),AMEN
 Top Turk (4),AMIR
 Cordial flavoring (5),ANISE
 He means war (4),ARES
 Mr. Sharon (5),ARIEL
 Rubenstein and Schnabel (6),ARTURS
 Concavity (5),BASIN
 ___ Raton (4),BOCA
 One point. at the French Open (6),CINQUE
 Designated driver's beverage (5),COCOA
 Window treatment (5),DRAPE
 Shockers (4),EELS
 Poetic nights (4),EENS
 This. to Manuela (4),ESTE
" ""You too?"" (4)",ETTU
 Sidestep (5),EVADE
" ""As ___ and breathe"" (5)",ILIVE
 Opening remarks. casually (5),INTRO
 Less convincing (5),LAMER
 Wash (4),LAVE
 Filling station (5),MOLAR
" ""Our ___ Friend"" (6)",MUTUAL
 Preferred checking account (5),NOFEE
 Warning (4),OMEN
 Gallery offering (5),OPART
 Above-board (5),OVERT
 Adjuration (4),PLEA
 Rope (5),REATA
 Win back (6),RECOUP
 Gun the engine (5),REVUP
 Thesaurus title (6),ROGETS
 Bumpkins (5),RUBES
 Posted (4),SENT
 Royal address (4),SIRE
 Gents (4),SIRS
 Tsar. often (4),SLAV
 Atlantic City machine (4),SLOT
 Ai's and others (6),SLOTHS
 Evening party (6),SOIREE
 Some offspring (4),SONS
 French philosopher (5),SOREL
 Room to breathe (5),SPACE
 Pet protector: acronym (4),SPCA
 Quickie flights (4),SSTS
 Dele's superceder (4),STET
 Poison ___ (5),SUMAC
 Over 12 (4),TEEN
 On edge (5),TENSE
" ""There's gold in ___ thar hills"" (4)",THEM
 Wild cats (6),TIGERS
 Yankee manager Joe (5),TORRE
 Birth places (5),UTERI
 Monastery head (5),ABBOT
 Loathe (5),ABHOR
 Put up with (6),ABIDED
 Bottomless pit (5),ABYSS
 Scored a 1 on (4),ACED
 Gets a perfect score on (4),ACES
 Zenith (4),ACME
 Entr'__ (4),ACTE
 Meryl Streep. to the politically correct (5),ACTOR
 Axiom (5),ADAGE
" ""A Passage To India"" character (5)",ADELA
 Be mad about (5),ADORE
 Bushy hairstyle (4),AFRO
 Behind in place (5),AFTER
 DRAFT (10),AIRCURRENT
 Controversial orchard spray (4),ALAR
" ""Magical Mystery Tour."" e.g. (5)",ALBUM
 Actor Baldwin (4),ALEC
 1986 Sigourney Weaver thriller (6),ALIENS
" ""Later!"" at the luau (5)",ALOHA
 Honolulu's __ Bowl (5),ALOHA
 Lady Bird's nomen (4),ALTA
 High. in combinations (4),ALTI
 Choir members (5),ALTOS
 Nanking nanny (4),AMAH
 Part of USA (4),AMER
 French friend (4),AMIE
" ""Lucky Jim"" author Kingsley (4)",AMIS
 In a confused state (4),AMOK
 Med. student's course (4),ANAT
" Aldous Huxley novel ""___ Hay"" (5)",ANTIC
 Lunch for an aardvark (4),ANTS
" ""T."" ""D."" and ""S"" sounds (6)",APICAL
 Each (4),APOP
 Seawater color (4),AQUA
 Saudi __ (6),ARABIA
 Composer Khachaturian (4),ARAM
 Don't exist (5),ARENT
 City on the Rhone (5),ARLES
 Palmer. to his fans (5),ARNIE
 Switch ender (4),AROO
" ""...pretty maids all in ___"" (4)",AROW
 Indo-European (5),ARYAN
 On the water (4),ASEA
 Campfire fallout (5),ASHES
 China setting (4),ASIA
 Sale condition (4),ASIS
 Adm. aide (4),ASST
 Italian wine region (4),ASTI
 Start of a Dickens' title (5),ATALE
 Way to go? (4),ATIT
 Observe Yom Kippur (5),ATONE
 Yachting (5),ATSEA
 Tom's Polly or Dorothy's Em (4),AUNT
 Atmosphere (4),AURA
 State firmly (4),AVER
 Forestalls (6),AVERTS
" 1992 Tom Cruise film ""Far and ___"" (4)",AWAY
 Murphy's Law. et al. (6),AXIOMS
 Boy Scouts earn them (6),BADGES
 Island neighbor of Java (4),BALI
" ""Devil's rope"" features (5)",BARBS
 Grounds (5),BASIS
 Wash off (5),BATHE
 Smile broadly (4),BEAM
" ""Adam __"" (Eliot novel) (4)",BEDE
 Deflect (4),BEND
 Outer areas (5),BURBS
 So-so grades (4),CEES
 Soft drink (4),COLA
 Unrefined (5),CRASS
 Harvest haul (4),CROP
 Battier. in Britain (6),DAFTER
 British title (4),DAME
 Consider (4),DEEM
 Considered (6),DEEMED
 Crusoe's creator (5),DEFOE
 Strike out (4),DELE
 3-D illusion (5),DEPTH
 Dissuade (5),DETER
 Can't stand (6),DETEST
" Ross of ""Mahogany"" (5)",DIANA
 Jenny Craig advice (4),DIET
 Movers and shakers (5),DOERS
 Nap (4),DOZE
 Casey Stengel's spot (6),DUGOUT
 Blunt (4),DULL
 Dip a doughnut (4),DUNK
 Does lunch (4),EATS
 Paradises (5),EDENS
 Western star Richard (4),EGAN
 Void (5),EGEST
 Famed exile isle (4),ELBA
 Author Hubbard (6),ELBERT
 Novelist Wiesel (4),ELIE
" ""___ Gantry"" (5)",ELMER
" Meredith's ""Family Ties"" role (5)",ELYSE
 Correct (5),EMEND
 Discharge (4),EMIT
" ""David Copperfield"" lass (4)",EMLY
 Use a container (6),ENCASE
 Eve's grandson (4),ENOS
 Main course (6),ENTREE
 Standing up (5),ERECT
 Sevareid or Stoltz (4),ERIC
 Speed-skater Heiden (4),ERIC
 WWI general Ludendorff (5),ERICH
 Buffalo's lake (4),ERIE
 Keystone State port (4),ERIE
" He portrayed ""Ponch"" (4)",ERIK
 Diminish (5),ERODE
 Renaissance family (4),ESTE
 Actor Hawke (5),ETHAN
 Use a loophole (5),EVADE
" Agatha Christie's ""___ Under the Sun"" (4)",EVIL
 Bronte's Jane (4),EYRE
 Confronts (5),FACES
 Grow dimmer (4),FADE
 Wrigley or Comiskey (5),FIELD
 Food with chips (4),FISH
 Dog's hitchhiker (4),FLEA
 St. Andrews shout (4),FORE
 Pronged instruments (5),FORKS
 Dummy corporation. perhaps (5),FRONT
 Dance craze (4),FRUG
 Stimulates. as an argument (5),FUELS
 Flavorful bulb (6),GARLIC
 Stadium entrance (4),GATE
 Bloke (4),GENT
 1814 treaty site (5),GHENT
 Crest competitor (5),GLEEM
 Fluently talkative (4),GLIB
 Greatly sought-after objectives (6),GRAILS
 British field marshall (4),HAIG
 Hearty's companion (4),HALE
 Mata ___ (4),HARI
 Repugnance (6),HATRED
 Lead (4),HEAD
 Mythological haunter (6),HECATE
 Composer Berlioz (6),HECTOR
 Uriah __ (4),HEEP
 Medal of Honor recipient (4),HERO
" ""My Own Private __"" (5)",IDAHO
 A day in March. May. July. or October (4),IDES
 Aviation pioneer Sikorsky (4),IGOR
 Shed light on (6),ILLUME
 Likeness (5),IMAGE
 Stick on a stick (6),IMPALE
 African peoples (6),INDABA
 Tax-deferred accts. (4),IRAS
 Camouflage-colored vehicles (5),JEEPS
 Prank (4),JEST
 Child or Roberts (5),JULIA
 Louis-Dreyfuss (5),JULIA
 US __ (sneaker name) (4),KEDS
 Make a stocking cap (4),KNIT
 Calf catcher (5),LASSO
 Like the White Rabbit of Wonderland (4),LATE
 Rubber-plant sap (5),LATEX
 Coffee shop order (5),LATTE
 __ the jungle (5),LAWOF
 Browse through (4),LEAF
 Jacob's first wife (4),LEAH
 Renault. once (5),LECAR
 Dirty look (4),LEER
 __ majesty (crime against the state) (4),LESE
 Hansen of NPR's Weekend Edition (5),LIANE
 Deceive (5),LIETO
 City north of Dayton (4),LIMA
 Graph starter (5),LITHO
 Goldbricks (5),LOAFS
 Part of S&L (4),LOAN
 River blockage (6),LOGJAM
" ""__. ma! No hands!"" (4)",LOOK
" Greene of ""Bonanza"" (5)",LORNE
 Type of moth (4),LUNA
 Scepter (4),MACE
 Civic org. (4),MADD
 Fridge decoration (6),MAGNET
 Straighten. as one's bed (4),MAKE
 Slander (6),MALIGN
 Lions' coifs (5),MANES
 Artist Chagall (4),MARC
 The Red Planet (4),MARS
 Mardi Gras wear (5),MASKS
 Harvard degs. (4),MBAS
 Average (4),MEAN
" Anne of ""Archie Bunker's Place"" (5)",MEARA
 Part of a group (6),MEMBER
 Spiteful remarks (5),MEOWS
 It's read by the gas man (5),METER
 Saw or wind ender (4),MILL
 Dice (5),MINCE
 Artistic themes (6),MOTIFS
 Makes faces at the camera (4),MUGS
 Arnold Schwarzenegger has a long one (4),NAME
 The __ of Islam (6),NATION
 Refusals. in short (4),NEGS
 Peter and Franco (5),NEROS
 Aerie (4),NEST
 Reno's state (6),NEVADA
 Most fashionable (6),NEWEST
 Duke or earl (5),NOBLE
" ""Blithe Spirit"" author Coward (4)",NOEL
 Pinocchio's lie detector (4),NOSE
 PBS series (4),NOVA
 Spotted cat (6),OCELOT
 Fail to mention (4),OMIT
 Wallet fillers (4),ONES
 Klutzy comment (4),OOPS
" ""Falstaff."" e.g. (5)",OPERA
 Mayberry carrottop (4),OPIE
 Reverend Roberts (4),ORAL
" Quint's ship in ""Jaws"" (4)",ORCA
 Acrylic fiber (5),ORLON
 Minneapolis suburb (5),ORONO
" Davis of ""Grumpy Old Men"" (5)",OSSIE
" ""Beetle Bailey"" pooch (4)",OTTO
 Shape of the Old Brickyard (4),OVAL
 Carson's predecessor (4),PAAR
 Certain racehorse (5),PACER
" ""___ It Blue"" (Songs of the Rolling Stones') (5)",PAINT
 Mama's partner (4),PAPA
 ___ up (enlivens) (4),PEPS
 Problem for Pauline (5),PERIL
 Dennis. to Mr. Wilson (4),PEST
 Hoops legend Maravich (4),PETE
 __ out (exhaust) (5),PETER
" ""Punxsutawney __"" (4)",PHIL
 Coins (6),PIECES
 Bridge platform (4),PIER
 United employees (6),PILOTS
 Penny-in-the-wishing-well sound (4),PLOP
 Donne or Dickinson (4),POET
 Versifier (4),POET
 Sport with mounts and mallets (4),POLO
 Pioneering video game (4),PONG
 Dresses to the nines (6),PREENS
 Carnivore's quarry (4),PREY
 Laborer (5),PROLE
 Expression of disbelief (5),PSHAW
" ""Hey. you!"" (4)",PSST
 __ Arenas. Chile (5),PUNTA
 Stickler for perfection (6),PURIST
 Inflorescence (6),RACEME
" ""___ on Entebbe"" (4)",RAID
 Still bloody (4),RARE
 Synthetic textile (5),RAYON
 Demolish (4),RAZE
 WWF officials (4),REFS
 Painter Magritte (4),RENE
 Italian painter. Guido _____ (4),RENI
 Turn off (5),REPEL
 Lie back (6),REPOSE
 Adjust (5),RESET
 Kind of artist (6),RIPOFF
 __ of passage (4),RITE
 Extra cellular fee (4),ROAM
 One of California's Santas (4),ROSA
 Fixed procedure (4),ROTE
 10K specialist (6),RUNNER
 Cause of a Macy's riot? (4),SALE
 Rio tango (5),SAMBA
 Spilled the beans (4),SANG
 Burgundy river (5),SAONE
 Car name (6),SATURN
 Parental prerogative (5),SAYSO
 Asimov's genre (5),SCIFI
 Layer of coal (4),SEAM
 Drop out. officially (6),SECEDE
 One-horse carriage (4),SHAY
 Backyard structures (5),SHEDS
 Greek letter (5),SIGMA
 Trig function (4),SINE
 Quench (5),SLAKE
 Allayed one's thirst (6),SLAKED
 Having a bluish-gray hue (5),SLATY
 Snowy slope slider (4),SLED
 Hook sidekick (4),SMEE
 Attach. in a way (6),SNAPIN
 Dowses (4),SOPS
 Garden tool (5),SPADE
 Sail support (4),SPAR
 Watusi weapons (6),SPEARS
 On ___ (with an eye toward selling) (4),SPEC
 __ sheet (builder's instructions) (4),SPEC
 Gush forth (4),SPEW
 Wrestling. for one (5),SPORT
 Film VIP (4),STAR
" Apt rhyme for ""glare"" (5)",STARE
 When all forces are at rest (6),STASES
 Mississippi. for one (5),STATE
 Put into words (6),STATED
 Silver. to the Lone Ranger (5),STEED
 Derive from (4),STEM
 Summer ermines (6),STOATS
 March honoree. for short (5),STPAT
 Tux need (4),STUD
 Plum-pudding ingredient (4),SUET
 Alfred Nobel (5),SWEDE
 Implied (5),TACIT
 Small fellows (4),TADS
 Spill the beans (4),TELL
 Place for a chapeau (4),TETE
" ""Of ___ I Sing"" (4)",THEE
 Exercise one's gray matter (5),THINK
 Mah jongg piece (4),TILE
" ""Skoal!"" or ""salud!"" (5)",TOAST
 Fast food phrase (4),TOGO
 Breaks one's back (5),TOILS
 Area of discussion (5),TOPIC
 Pressure unit (4),TORR
 __ element (5),TRACE
 Marching unit (5),TROOP
 DRAFT (10),TYPEOFBEER
 One of a set (4),UNIT
 More than suggest (4),URGE
 __-friendly (easy to operate) (4),USER
 Lower (4),VAIL
 Rochester was one (5),VALET
 Safe places (6),VAULTS
 Tarzan's transport (5),VINES
 Stringed instruments (5),VIOLS
 Places for hangings (5),WALLS
 Grieve (4),WEEP
 Shoebox datum (5),WIDTH
 Where we all begin (4),WOMB
 Suitor (5),WOOER
 Less desirable (5),WORSE
 Stole (4),WRAP
 Pleasure cruiser (5),YACHT
 Brute (5),YAHOO
 Ox harness (4),YOKE
 North Sea feeder (4),YSER
 Opening lyrics of a children's tune (4),ABCD
 Detest (5),ABHOR
 Head starter (4),ACHE
 Needs liniment (5),ACHES
 Entr' __ (musical interlude) (4),ACTE
 Man of parts (5),ACTOR
 Ray of films (4),ALDO
 Milan's Teatro __ Scala (4),ALLA
 Bunches (4),ALOT
 Mont Blanc range (4),ALPS
" The Four Seasons' ""Walk Like __"" (4)",AMAN
 Prized violin (5),AMATI
 Cuomo of the Clinton Cabinet (6),ANDREW
 Goose genus (5),ANSER
 Pool starter (4),ANTE
 Picnic pests (4),ANTS
 Disappearing inland sea (4),ARAL
 Sacramento arena (4),ARCO
 Passionate (6),ARDENT
 Staggering (5),AREEL
 The Colosseum. e.g. (5),ARENA
 Operatic solo (4),ARIA
" ""The Tempest"" character (5)",ARIEL
 End of a buck? (4),AROO
 What Lillian or Phillip is (5),AROTH
 As ___ (usually) (5),ARULE
 Dusseldorf donkey (4),ASSE
 Balance-sheet entries (6),ASSETS
 AMA or ABA (4),ASSN
 Regarding (4),ASTO
 Regarding (4),ASTO
" ""...now you come ___"" (6)",ATNOON
" ""__ boy!"" (4)",ATTA
 At one's ___ and call (4),BECK
" ""Games People Play"" author (5)",BERNE
 Old-time actress Edna (4),BEST
 __-carotene (4),BETA
 Physicist Karl (1822-93) (5),BRAUN
 December 21. perhaps (6),BRUMAL
 He did it. according to Christie (6),BUTLER
 City southwest of Bogota (4),CALI
 Important piece of Batman's wardrobe (4),CAPE
 Slow boat destination? (5),CHINA
 Man of the cloth (6),CLERIC
 Apple throwaway (4),CORE
 Coveted spot on Time (5),COVER
 Monks' hoods (5),COWLS
 Fed lines to (4),CUED
" ""____ of a Salesman"" (5)",DEATH
 Night vision (5),DREAM
 Dines at home (6),EATSIN
 Ford flop (5),EDSEL
 Quiche-maker's need (4),EGGS
 Fashion mag (4),ELLE
 Right-angled bends (4),ELLS
 Otherwise (4),ELSE
 Jannings of old films (4),EMIL
 Finishes (6),ENDSUP
 De Mille specialties (5),EPICS
 Rub out (5),ERASE
 Suffix with switch (4),EROO
 Piccadilly Circus statue (4),EROS
 Vulcan's Chimney (4),ETNA
 Pitcher (4),EWER
 Benning is one (4),FORT
 Expertise (5),FORTE
 Mannheim Mrs. (4),FRAU
 Avant ___ (5),GARDE
 Architectural style (6),GOTHIC
 Roach and March (4),HALS
 Biblical verb (4),HAST
" ""For __ jolly ..."" (4)",HESA
 The Plaza. for one (5),HOTEL
 Champagne bucket (4),ICER
 Eaves dropper? (6),ICICLE
 Concept (4),IDEA
" ""__ Rappaport"" (5)",IMNOT
 Conforming to (10),INSTEPWITH
 Skye on film (4),IONE
" ""Blame __ Rio"" (4)",ITON
 Murray and Berry (4),KENS
 Held onto (4),KEPT
" ""Twittering Machine"" artist (4)",KLEE
 Web MD guru (4),KOOP
 Young woman (4),LASS
 Diamond of gangsterdom (4),LEGS
 Ash Wednesday beginner (4),LENT
 To a smaller degree (4),LESS
 Diminish (6),LESSEN
 Ananias and his ilk (5),LIARS
 MGM founder (4),LOEW
 Diving bird (4),LOON
" ""The __ of Flatbush"" (1974 Stallone flick) (5)",LORDS
 Act the siren (4),LURE
 Speed-of-sound word (4),MACH
 Soften up (4),MELT
 Kittens' cries (4),MEWS
 Input devices (4),MICE
 Sign element (4),NEON
 Jersey hoopsters (4),NETS
 Zilch (4),NONE
 Seat of Marion County. FL (5),OCALA
 Thor's dad (4),ODIN
 Bicarbonate __ (6),OFSODA
" ""The ___ clock jump"" (4)",ONEO
 Milky stone (4),OPAL
 Measure against (6),OPPOSE
 Kind of exam (4),ORAL
 Lyricist Hammerstein (5),OSCAR
 Work-safety org. (4),OSHA
 Actor Davis (5),OSSIE
 Furry swimmer (5),OTTER
 __-walsy (5),PALSY
 Annie Oakley. for one (4),PASS
 Hee Haw's Minnie (5),PEARL
 Individual (6),PERSON
 Actress ZaSu (5),PITTS
 Consider at length (6),PONDER
" __-Bah (""The Mikado"" character) (4)",POOH
 Down-and-out (4),POOR
 They have open houses (4),PTAS
 Don (5),PUTON
 Crowd cheers (4),RAHS
 October yard worker (5),RAKER
 Great Barrier __ (4),REEF
 Lives in an apartment (5),RENTS
 Caesura (4),REST
 Take five (4),REST
 Hit the sack (6),RETIRE
 TV producer Arledge (5),ROONE
 American Beauty (4),ROSE
 Identical (4),SAME
 Impudence (4),SASS
 Satisfies fully (5),SATES
 Oodles (6),SCORES
 Lennon' s boy (4),SEAN
 Ooze (4),SEEP
 Golfer Ballesteros (4),SEVE
 Burn superficially (5),SINGE
 Id' s head man (4),SIRE
 Dodge (the issue) (5),SKIRT
 One of the Rice Krispies sounds (4),SNAP
 Proboscis (5),SNOUT
 Unwanted E-mail (4),SPAM
" Lesley of ""60 minutes"" (5)",STAHL
 Leaky-pen consequence (5),STAIN
 RBI. e.g. (4),STAT
" ""Higher Love"" singer Winwood (5)",STEVE
 Portico (4),STOA
 Decorative plaster (6),STUCCO
 Wall finish (6),STUCCO
 Apartment leak-fixers (6),SUPERS
 Pierre's afternoon (5),TARDE
 Past perfect (5),TENSE
 Tracy's Trueheart (4),TESS
 1954 giant-ant movie (4),THEM
 So (4),THUS
 Start of a Hamlet quote (4),TOBE
 Fuss (4),TODO
 ___ avail (4),TONO
 B&D makes them (5),TOOLS
 Flip of a coin (4),TOSS
 Search for (5),TRACE
" Kovacs' ""The Nairobi __"" (4)",TRIO
 Sojourn (4),TRIP
 Under-bridge dweller of myth (5),TROLL
 Ernest of country (4),TUBB
" ""A Visit from St. Nicholas"" opener (4)",TWAS
 Range of the Beehive State (5),UINTA
 In the last month (6),ULTIMO
 Bear in the sky (4),URSA
 Celestial bear (4),URSA
 Zion National Park home (4),UTAH
 Having lots of money (10),WELLHEELED
 Skater Katarina (4),WITT
 Inept one (4),YOYO
 She's the Pitts (4),ZASU
 Teen problem (4),ZITS
 Fusses (4),ADOS
